iteration	tf	gene	wei	cond
0	STAT5A	IL2	0.0010968163	control
0	STAT5B	IL2	-0.000077958066	control
0	STAT4	IL2	-0.0	control
0	IRF1	IL2	-0.0	control
0	STAT3	IL2	-0.00015325344	control
0	GTF2I	IL2	-0.0	control
0	STAT1	IL2	0.0	control
0	IRF8	IL2	-0.0	control
0	ELF1	IL2	0.008484787	control
0	IRF3	IL2	0.0	control
0	IRF5	IL2	0.0	control
0	STAT2	IL2	-0.0	control
0	IRF7	IL2	-0.0	control
0	IRF9	IL2	0.0	control
0	unannotated_1	IL2	-0.0021430433	control
0	STAT5A	IRF1	-0.004774852	control
0	STAT5B	IRF1	0.0062338146	control
0	STAT4	IRF1	0.0004461282	control
0	IRF1	IRF1	0.00006375779	control
0	STAT3	IRF1	-0.004729943	control
0	GTF2I	IRF1	0.0	control
0	STAT1	IRF1	0.00041460863	control
0	IRF8	IRF1	0.006850142	control
0	ELF1	IRF1	-0.0	control
0	IRF3	IRF1	0.0035910888	control
0	IRF5	IRF1	-0.0	control
0	STAT2	IRF1	-0.007108244	control
0	IRF7	IRF1	-0.0	control
0	IRF9	IRF1	-0.0	control
0	unannotated_1	IRF1	0.0020321012	control
0	STAT5A	CCND1	-0.0051077087	control
0	STAT5B	CCND1	0.0032528073	control
0	STAT4	CCND1	-0.0	control
0	IRF1	CCND1	-0.0008099197	control
0	STAT3	CCND1	-0.00024780762	control
0	GTF2I	CCND1	-0.0008986193	control
0	STAT1	CCND1	0.0037555916	control
0	IRF8	CCND1	-0.0	control
0	ELF1	CCND1	-0.0	control
0	IRF3	CCND1	-0.0	control
0	IRF5	CCND1	-0.0	control
0	STAT2	CCND1	0.0	control
0	IRF7	CCND1	-0.0	control
0	IRF9	CCND1	0.0	control
0	unannotated_1	CCND1	-0.0045489427	control
0	STAT5A	PRF1	-0.0046890597	control
0	STAT5B	PRF1	-0.003396282	control
0	STAT4	PRF1	-0.00059459277	control
0	IRF1	PRF1	0.0	control
0	STAT3	PRF1	-0.0033459126	control
0	GTF2I	PRF1	-0.0	control
0	STAT1	PRF1	-0.009504948	control
0	IRF8	PRF1	0.0	control
0	ELF1	PRF1	-0.0	control
0	IRF3	PRF1	0.0	control
0	IRF5	PRF1	-0.0	control
0	STAT2	PRF1	0.0	control
0	IRF7	PRF1	-0.0	control
0	IRF9	PRF1	0.0	control
0	unannotated_1	PRF1	0.0053136116	control
0	STAT5A	IFNG	-0.003186122	control
0	STAT5B	IFNG	-0.0028846762	control
0	STAT4	IFNG	-0.004063264	control
0	IRF1	IFNG	0.00011713197	control
0	STAT3	IFNG	0.008293696	control
0	GTF2I	IFNG	-0.0	control
0	STAT1	IFNG	0.0008002219	control
0	IRF8	IFNG	0.0028349229	control
0	ELF1	IFNG	0.0	control
0	IRF3	IFNG	-0.0029311604	control
0	IRF5	IFNG	0.006605493	control
0	STAT2	IFNG	0.0066447803	control
0	IRF7	IFNG	-0.0	control
0	IRF9	IFNG	0.0004019537	control
0	unannotated_1	IFNG	-0.007662908	control
0	STAT5A	FOS	-0.008183748	control
0	STAT5B	FOS	-0.0	control
0	STAT4	FOS	0.0	control
0	IRF1	FOS	-0.0	control
0	STAT3	FOS	0.03384537	control
0	GTF2I	FOS	-0.0021791891	control
0	STAT1	FOS	0.031656735	control
0	IRF8	FOS	-0.0	control
0	ELF1	FOS	-0.0	control
0	IRF3	FOS	-0.0	control
0	IRF5	FOS	0.0	control
0	STAT2	FOS	0.0	control
0	IRF7	FOS	0.0	control
0	IRF9	FOS	-0.0	control
0	unannotated_1	FOS	-0.03125834	control
0	STAT5A	IRF8	0.0068642953	control
0	STAT5B	IRF8	0.0	control
0	STAT4	IRF8	0.0	control
0	IRF1	IRF8	-0.013003372	control
0	STAT3	IRF8	-0.0	control
0	GTF2I	IRF8	-0.0	control
0	STAT1	IRF8	-0.0015048495	control
0	IRF8	IRF8	0.0050873104	control
0	ELF1	IRF8	-0.0	control
0	IRF3	IRF8	0.0	control
0	IRF5	IRF8	-0.0019656348	control
0	STAT2	IRF8	0.0	control
0	IRF7	IRF8	0.0	control
0	IRF9	IRF8	-0.0	control
0	unannotated_1	IRF8	0.0137120085	control
0	STAT5A	IRF2	-0.0	control
0	STAT5B	IRF2	0.0	control
0	STAT4	IRF2	0.0	control
0	IRF1	IRF2	-0.002028558	control
0	STAT3	IRF2	0.0	control
0	GTF2I	IRF2	0.0	control
0	STAT1	IRF2	0.00555122	control
0	IRF8	IRF2	0.0	control
0	ELF1	IRF2	0.0	control
0	IRF3	IRF2	-0.0	control
0	IRF5	IRF2	-0.0	control
0	STAT2	IRF2	-0.0	control
0	IRF7	IRF2	-0.0	control
0	IRF9	IRF2	0.0	control
0	unannotated_1	IRF2	0.00092993974	control
0	STAT5A	IFNB1	-0.0	control
0	STAT5B	IFNB1	-0.0	control
0	STAT4	IFNB1	0.0	control
0	IRF1	IFNB1	0.008688772	control
0	STAT3	IFNB1	-0.0	control
0	GTF2I	IFNB1	-0.0	control
0	STAT1	IFNB1	-0.007254095	control
0	IRF8	IFNB1	0.0074967667	control
0	ELF1	IFNB1	0.0	control
0	IRF3	IFNB1	-0.0037008838	control
0	IRF5	IFNB1	0.009679	control
0	STAT2	IFNB1	-0.004077396	control
0	IRF7	IFNB1	0.0056812726	control
0	IRF9	IFNB1	0.013978365	control
0	unannotated_1	IFNB1	0.0013076636	control
0	STAT5A	CCL4	-0.0	control
0	STAT5B	CCL4	-0.0	control
0	STAT4	CCL4	-0.0	control
0	IRF1	CCL4	-0.015110784	control
0	STAT3	CCL4	-0.0	control
0	GTF2I	CCL4	0.0	control
0	STAT1	CCL4	-0.0	control
0	IRF8	CCL4	0.0	control
0	ELF1	CCL4	0.0	control
0	IRF3	CCL4	-0.0	control
0	IRF5	CCL4	0.0361287	control
0	STAT2	CCL4	-0.0	control
0	IRF7	CCL4	-0.0	control
0	IRF9	CCL4	0.0	control
0	unannotated_1	CCL4	-0.043423373	control
0	STAT5A	SOCS3	-0.0015396611	control
0	STAT5B	SOCS3	0.008763007	control
0	STAT4	SOCS3	0.009745754	control
0	IRF1	SOCS3	-0.0	control
0	STAT3	SOCS3	-0.008016373	control
0	GTF2I	SOCS3	0.0	control
0	STAT1	SOCS3	0.0009507446	control
0	IRF8	SOCS3	0.0	control
0	ELF1	SOCS3	0.0	control
0	IRF3	SOCS3	-0.0	control
0	IRF5	SOCS3	-0.0	control
0	STAT2	SOCS3	-0.0	control
0	IRF7	SOCS3	-0.0	control
0	IRF9	SOCS3	-0.0	control
0	unannotated_1	SOCS3	0.009900411	control
0	STAT5A	LYZ	-0.0	control
0	STAT5B	LYZ	-0.0	control
0	STAT4	LYZ	-0.0	control
0	IRF1	LYZ	-0.14246076	control
0	STAT3	LYZ	-0.0	control
0	GTF2I	LYZ	-0.0	control
0	STAT1	LYZ	0.0	control
0	IRF8	LYZ	-0.0	control
0	ELF1	LYZ	-0.20321235	control
0	IRF3	LYZ	-0.0	control
0	IRF5	LYZ	-0.0	control
0	STAT2	LYZ	0.0	control
0	IRF7	LYZ	-0.0	control
0	IRF9	LYZ	0.0	control
0	unannotated_1	LYZ	-0.19743247	control
0	STAT5A	CD40	0.0	control
0	STAT5B	CD40	-0.0	control
0	STAT4	CD40	0.0	control
0	IRF1	CD40	-0.021897323	control
0	STAT3	CD40	-0.0	control
0	GTF2I	CD40	0.0	control
0	STAT1	CD40	-0.002527832	control
0	IRF8	CD40	0.0	control
0	ELF1	CD40	0.0	control
0	IRF3	CD40	0.0	control
0	IRF5	CD40	-0.0	control
0	STAT2	CD40	-0.0	control
0	IRF7	CD40	0.0	control
0	IRF9	CD40	0.0	control
0	unannotated_1	CD40	0.007835695	control
0	STAT5A	TNF	0.0057511088	control
0	STAT5B	TNF	0.0	control
0	STAT4	TNF	0.0007498415	control
0	IRF1	TNF	-0.0034547176	control
0	STAT3	TNF	-0.004669795	control
0	GTF2I	TNF	0.0	control
0	STAT1	TNF	-0.0020574168	control
0	IRF8	TNF	-0.0018677231	control
0	ELF1	TNF	-0.0	control
0	IRF3	TNF	0.0014386247	control
0	IRF5	TNF	-0.00757537	control
0	STAT2	TNF	-0.0	control
0	IRF7	TNF	0.0	control
0	IRF9	TNF	0.0	control
0	unannotated_1	TNF	0.0006015004	control
0	STAT5A	IL18	-0.000050510764	control
0	STAT5B	IL18	-0.0	control
0	STAT4	IL18	0.0	control
0	IRF1	IL18	0.006126328	control
0	STAT3	IL18	0.0	control
0	GTF2I	IL18	0.0	control
0	STAT1	IL18	-0.0	control
0	IRF8	IL18	0.0023475909	control
0	ELF1	IL18	0.0	control
0	IRF3	IL18	0.0	control
0	IRF5	IL18	-0.0	control
0	STAT2	IL18	-0.0	control
0	IRF7	IL18	0.0	control
0	IRF9	IL18	-0.0	control
0	unannotated_1	IL18	-0.0057850853	control
0	STAT5A	OSM	0.010754493	control
0	STAT5B	OSM	-0.0023703254	control
0	STAT4	OSM	0.0	control
0	IRF1	OSM	-0.0	control
0	STAT3	OSM	0.02261251	control
0	GTF2I	OSM	0.0	control
0	STAT1	OSM	0.031063715	control
0	IRF8	OSM	0.0	control
0	ELF1	OSM	-0.0	control
0	IRF3	OSM	-0.0	control
