,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.0007398323,-0.0016418069,0.0,0.0,0.0019865378,-0.0030403251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016307341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009091875
IRF1,-0.0032214292,0.002916343,0.0020383666,0.0018953725,0.001410111,0.0,0.0,0.008791658,0.0041937637,0.00066823023,-0.000108244036,0.0,0.0012802738,0.0,0.0,-0.0024878227,0.0,0.0,-0.0024523754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018449259
CCND1,0.0013466235,0.0035111723,0.0,-0.002279355,-0.000564051,0.0,0.0026260791,0.0,2.469232e-05,0.0,0.0,0.0,0.0,-0.00084959174,0.0,0.0,0.0,0.0,0.0,0.0,-0.00063647376,0.0,0.0,0.0,-7.066099e-05,-0.00028220133,0.0,0.0,0.0,0.0,0.0011115468
PRF1,0.00346753,0.001226401,0.0021437693,0.0,-0.0027671864,0.0,0.0,0.0,0.00087643386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037826155
IFNG,0.00031418624,0.0010414481,0.004337778,0.0018213431,0.00010160566,4.6578585e-05,0.0,0.00092995615,0.00038715408,0.0010013311,0.0012811578,0.0,-0.0013285729,0.0,0.0,0.004205867,0.0014020625,0.0,-0.0015669853,0.0,0.0,-0.0007711469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023814966
KRAS,0.0,0.0,0.0,0.0,0.0,-0.007481596,0.0,0.0,0.0,0.0,0.0006799151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002464126
FOS,-0.0015300246,0.0,0.0,0.0,0.009528978,0.022882352,0.0019768465,0.0,0.0010664234,0.0,0.0055959267,0.0,0.0,0.019861788,-0.00046132723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057583377
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088664406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020963629
IRF8,0.0006368022,0.0,0.0,0.013685155,0.0,0.0,0.0,0.0,0.0013178207,-0.0035322974,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014835928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020591791
IRF2,0.0,0.0,0.0,-0.0018355837,0.0,0.0,0.0,-0.00049253984,-0.0025635124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009364936
BCL2,-0.0027197155,0.0010765872,0.0,0.0015689128,0.002427742,-0.0013622964,0.0,0.0,0.0,-0.00063385034,0.0,0.0,0.0,0.00070533843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001376308,0.0,0.0,0.0,0.001127754
IFNB1,0.0,0.0,0.0,0.00020720402,0.0,0.0,0.0,-0.0010821958,-0.0005877895,-0.00044311507,0.0,0.0,0.0027681072,0.0,0.0,0.0010051237,0.0017147638,0.0,-0.00094313204,-0.00037305726,-0.0010662676,-0.0006674393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001687279
CCL4,0.0,0.0,0.0,-0.0012855676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051854312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062481193
SOCS3,0.0014279967,8.894466e-05,0.0019066485,0.0,0.0028295643,-0.00055723486,0.0,0.0,0.001493873,0.0,0.0015855521,-0.0019655456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009446648
CD40,0.0,0.0,0.0,0.00884128,0.0,0.0,0.0,0.0,0.0022926552,0.0,-0.00021619807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744299
TNF,3.6323814e-05,0.0,-9.3773226e-05,0.002911054,0.0002919517,0.0,0.0,0.0020651217,0.0011445143,0.003113762,0.0010667107,0.0018381495,-0.0018210703,0.0,0.0,0.0013292131,-0.0020323459,0.0,0.0,0.0,0.0015860485,0.0,0.0,0.0019008517,0.0,0.0,0.0,0.0,0.0,0.0,0.0018877523
IL18,-0.0014131462,0.0,0.0,0.00012460639,0.0,0.0,0.0,0.0,0.0,-0.00076983264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031261165
OSM,0.0038427159,0.0023599376,0.0,0.0,0.012693453,0.0,0.0,0.0,0.0013084093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052868635
HSPA4,0.0,0.0,0.0,4.135826e-05,-0.001590554,0.0,0.0,0.0,0.00016017514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040926752
APEX1,0.0,0.0,0.0,0.0,-0.007185715,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012788035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062313485
HSP90AB1,0.0,0.0,0.0,0.0,-0.01210911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031663783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005068723
IL1B,0.0,0.0,0.0,0.011742648,0.028739005,0.0,0.0,0.0028613552,0.002613357,0.016035022,0.0,0.0,0.02612998,0.0,0.0,0.0,0.025093112,0.0,0.0,0.0,0.037953846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017583633
BLK,0.0,0.0,0.0,0.0,0.0,-0.0048160898,0.0,0.0,0.0,0.0,0.0,-0.00059262215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032552902
STAT5A,-0.00097652886,-8.154508e-05,0.0,0.0,-0.0011533763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023355167
IL7R,-0.0058747344,0.0,0.0,0.0,0.0,-0.066425405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015226764
JUNB,0.0,0.0,0.0,0.0,0.02442682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011504752
SLPI,-0.0001044245,-0.00020511262,0.0,0.0004491913,0.0017940681,0.0,0.0,0.0,-0.00029911945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000406593
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.002016678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001275001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009249908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012988404
