,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.05843405,0.058714755,0.0,0.0,0.05595528,0.057043362,0.0,0.0,0.0,0.0,0.0,0.0,0.05812931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05524128
IRF1,0.059636395,0.06005066,0.05603251,0.057319902,0.05652683,0.0,0.0,0.056820214,0.05693209,0.059413694,0.05749529,0.0,0.05935957,0.0,0.0,0.059424806,0.0,0.0,0.05789289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056612354
CCND1,0.058371592,0.05860083,0.0,0.055894632,0.055890717,0.0,0.058483083,0.0,0.055606473,0.0,0.0,0.0,0.0,0.05715575,0.0,0.0,0.0,0.0,0.0,0.0,0.056931745,0.0,0.0,0.0,0.05786232,0.059691556,0.0,0.0,0.0,0.0,0.05612632
PRF1,0.058851827,0.059176583,0.055347554,0.0,0.056081045,0.0,0.0,0.0,0.055903852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056076985
IFNG,0.058332037,0.05881972,0.055704556,0.05648194,0.056283694,0.057517063,0.0,0.056524046,0.055867635,0.058231365,0.056931775,0.0,0.058497388,0.0,0.0,0.05759898,0.05641533,0.0,0.057382166,0.0,0.0,0.05940494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05630033
KRAS,0.0,0.0,0.0,0.0,0.0,0.05695319,0.0,0.0,0.0,0.0,0.05690124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05630657
FOS,0.058923483,0.0,0.0,0.0,0.05644884,0.05805523,0.059707217,0.0,0.055995077,0.0,0.05707386,0.0,0.0,0.05783487,0.059701286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05705253
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056441933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055712026
IRF8,0.05924784,0.0,0.0,0.055803467,0.0,0.0,0.0,0.0,0.055086724,0.058704972,0.0,0.0,0.0,0.0,0.0,0.0,0.05531001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05632453
IRF2,0.0,0.0,0.0,0.05587796,0.0,0.0,0.0,0.055962503,0.05524581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05579449
BCL2,0.059581876,0.05850332,0.0,0.05626149,0.056280166,0.057420682,0.0,0.0,0.0,0.058586054,0.0,0.0,0.0,0.057985026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055360436,0.0,0.0,0.0,0.05660201
IFNB1,0.0,0.0,0.0,0.05557444,0.0,0.0,0.0,0.05540902,0.05586327,0.058217518,0.0,0.0,0.05784387,0.0,0.0,0.058052402,0.055344038,0.0,0.056434512,0.054977693,0.057212897,0.05824033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05585379
CCL4,0.0,0.0,0.0,0.05780348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05773353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05784747
SOCS3,0.058762603,0.059210908,0.056496657,0.0,0.05665251,0.05797986,0.0,0.0,0.05664147,0.0,0.057234902,0.056163877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05651138
CD40,0.0,0.0,0.0,0.056437142,0.0,0.0,0.0,0.0,0.055669893,0.0,0.056014948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05637143
TNF,0.059056323,0.0,0.0552772,0.05581519,0.056195427,0.0,0.0,0.05555572,0.055768512,0.058216274,0.056981318,0.056360878,0.05877444,0.0,0.0,0.058365267,0.05582987,0.0,0.0,0.0,0.057010442,0.0,0.0,0.059794664,0.0,0.0,0.0,0.0,0.0,0.0,0.056445442
IL18,0.05893318,0.0,0.0,0.055171974,0.0,0.0,0.0,0.0,0.0,0.058064826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055538096
OSM,0.058295272,0.05986035,0.0,0.0,0.0558105,0.0,0.0,0.0,0.055662196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055769723
