,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,-0.00011109646,0.0005049957,0.0,0.0,0.00014479125,1.5186228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00021172615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022891606
IRF1,0.0018195888,0.009878655,0.001195539,0.0006776003,0.00034201407,0.0,0.0,0.00071872,0.0009069253,0.0012509701,-0.00067141093,0.0,-0.00023702582,0.0,0.0,0.0007220375,0.0,0.0,0.002207853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021496597
CCND1,-6.8187655e-05,-1.9653036e-05,0.0,6.0266022e-05,-0.00020931025,0.0,-8.6871376e-05,0.0,9.2991795e-05,0.0,0.0,0.0,0.0,-2.772139e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.588005e-05,0.0,0.0,0.0,-0.00014545814,-0.00014488651,0.0,0.0,0.0,0.0,0.00012179931
PRF1,0.009087703,-0.00094998814,0.00040802677,0.0,-0.0006750699,0.0,0.0,0.0,0.0006033148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004457549
IFNG,0.000130027,0.0002515809,0.00040607224,-0.00014341486,-0.000108615866,0.00013602394,0.0,0.00040211863,0.00047678835,0.00036809032,-0.00017968452,0.0,0.00019000802,0.0,0.0,0.00013531653,-4.637283e-05,0.0,0.00016229204,0.0,0.0,6.6554654e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00052531884
KRAS,0.0,0.0,0.0,0.0,0.0,0.00022567133,0.0,0.0,0.0,0.0,-0.00050593837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061785674
FOS,-0.0007537983,0.0,0.0,0.0,0.00066493405,0.0007182529,0.00013625904,0.0,-0.0016182272,0.0,-0.0006773396,0.0,0.0,0.0016654388,0.0057949675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014272956
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084446074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054871885
IRF8,7.131907e-05,0.0,0.0,0.006687478,0.0,0.0,0.0,0.0,0.0018182952,-0.0019567101,0.0,0.0,0.0,0.0,0.0,0.0,0.00048699725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026681117
IRF2,0.0,0.0,0.0,0.00027911464,0.0,0.0,0.0,-0.00069253007,-0.00055036426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021778364
