,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.0001832575,0.0010509569,0.0,0.0,0.00049726496,9.057303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0009281583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048700316
IRF1,0.0026542093,0.0039590662,0.0019656236,0.0016694857,0.0009890981,0.0,0.0,0.0043910015,0.0026604845,0.0027098767,0.0018561498,0.0,0.004243109,0.0,0.0,0.0031652485,0.0,0.0,0.004442705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029493321
CCND1,0.00029857882,0.0006425029,0.0,0.00057875336,0.0003277353,0.0,0.00090731395,0.0,0.0007996725,0.0,0.0,0.0,0.0,0.00033470098,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361457,0.0,0.0,0.0,0.00079062977,0.0014639972,0.0,0.0,0.0,0.0,0.00034154396
PRF1,0.010604287,0.0015058707,0.0020724903,0.0,0.0030246829,0.0,0.0,0.0,0.0046688486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003972949
IFNG,0.00051711773,0.0015242754,0.000958497,0.00054711883,0.0006400405,0.000520474,0.0,0.000630129,0.0006160781,0.00064641633,0.0005559542,0.0,0.0007748593,0.0,0.0,0.0006310904,0.00036497405,0.0,0.00046141626,0.0,0.0,0.00095239107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053587323
KRAS,0.0,0.0,0.0,0.0,0.0,0.002811242,0.0,0.0,0.0,0.0,0.0043271626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030867471
FOS,0.0022941162,0.0,0.0,0.0,0.0047654,0.005374214,0.002683697,0.0,0.0063546435,0.0,0.0077383677,0.0,0.0,0.004634951,0.008408098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008639794
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003435279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004110147
IRF8,0.0017880024,0.0,0.0,0.007239692,0.0,0.0,0.0,0.0,0.005121704,0.0018006455,0.0,0.0,0.0,0.0,0.0,0.0,0.0014183627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031324541
IRF2,0.0,0.0,0.0,0.0017034312,0.0,0.0,0.0,0.0016448321,0.0012870843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018510936
