,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.00016371146,-0.0015748953,0.0,0.0,0.0009969203,-0.0004937242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040810658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00048320816
IRF1,-0.0040380424,0.001053339,0.006666818,-0.0027804617,-0.0046356437,0.0,0.0,0.006217102,-0.0013033041,-0.0031593316,0.0020673554,0.0,0.01481781,0.0,0.0,0.003255323,0.0,0.0,0.012534084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060304655
CCND1,0.0016173755,-0.00047249097,0.0,0.001622525,0.00051336864,0.0,0.0034819716,0.0,0.00068962306,0.0,0.0,0.0,0.0,-0.00012326185,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023126225,0.0,0.0,0.0,-1.4662766e-05,0.0010774408,0.0,0.0,0.0,0.0,0.0014221104
PRF1,-0.0048261248,-0.0020026676,0.022948498,0.0,-0.0102438275,0.0,0.0,0.0,-0.008257991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021158542
IFNG,0.0006602608,0.00096622447,8.381852e-05,-0.002017175,-0.00046043535,-0.0030314443,0.0,-0.0012081307,-0.0006386433,-0.00020282957,-0.0010632694,0.0,0.0017835742,0.0,0.0,-0.0016038386,-0.00065181765,0.0,0.0009802745,0.0,0.0,0.0013644916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00052569807
KRAS,0.0,0.0,0.0,0.0,0.0,-0.006821218,0.0,0.0,0.0,0.0,-0.0017646144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009157381
FOS,-0.0015669465,0.0,0.0,0.0,0.0007250335,0.0020071808,0.00037402342,0.0,-0.00031908051,0.0,-0.0023459771,0.0,0.0,-0.00044485088,0.00044650218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033396017
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061748708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00804282
IRF8,-0.012914145,0.0,0.0,0.015441606,0.0,0.0,0.0,0.0,-0.00055211876,-0.003446476,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025679201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061221914
IRF2,0.0,0.0,0.0,0.020525364,0.0,0.0,0.0,0.017111104,0.01105302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020123266
BCL2,-0.0021222136,-0.0023633586,0.0,-0.0012755448,-0.0009614515,0.0019250892,0.0,0.0,0.0,-0.0010649137,0.0,0.0,0.0,-0.00011763377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00077588373,0.0,0.0,0.0,-0.0024599894
IFNB1,0.0,0.0,0.0,-0.0016729981,0.0,0.0,0.0,-0.0004580825,-0.00043593496,0.001289535,0.0,0.0,-0.0003548218,0.0,0.0,0.0007946434,-0.0015733342,0.0,0.002708743,-0.001359434,-0.0015558514,0.00071820174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034818734
CCL4,0.0,0.0,0.0,0.073415734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11837937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069646224
SOCS3,-0.0015610566,-0.0020656448,0.0012856312,0.0,-0.0033317606,-0.003174575,0.0,0.0,-0.0042466065,0.0,0.0023753336,-0.00468878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008691458
CD40,0.0,0.0,0.0,0.029117819,0.0,0.0,0.0,0.0,0.01426522,0.0,-0.002562318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02021596
TNF,0.006797901,0.0,0.0013319118,0.0009451868,0.0011658014,0.0,0.0,0.0003281228,-8.926843e-05,0.0026891376,0.005525225,0.002006234,-0.0010167642,0.0,0.0,0.0010140833,0.0034948015,0.0,0.0,0.0,0.002107602,0.0,0.0,-0.0006756379,0.0,0.0,0.0,0.0,0.0,0.0,0.0018124413
IL18,-0.0037339926,0.0,0.0,-0.00047595933,0.0,0.0,0.0,0.0,0.0,-0.0005729146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043517104
OSM,-0.0007263509,-0.00037460262,0.0,0.0,0.0013091291,0.0,0.0,0.0,-0.0013524557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002710926
