,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,-1.0298443e-05,-1.24093585e-05,0.0,0.0,-5.028281e-05,9.402794e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.142392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7142777e-05
IRF1,0.0006014439,0.0021154701,0.0031170473,-0.0010941549,-0.0009192753,0.0,0.0,0.00398707,-0.00045018428,-0.002160048,0.0012342095,0.0,-0.0034619346,0.0,0.0,0.0012532311,0.0,0.0,0.00019680495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017943851
CCND1,-0.00026120688,-2.2993234e-05,0.0,3.141325e-05,1.4045811e-05,0.0,0.0005690907,0.0,4.105277e-06,0.0,0.0,0.0,0.0,5.1856496e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003225208,0.0,0.0,0.0,-1.5494845e-05,0.00038505302,0.0,0.0,0.0,0.0,6.841328e-05
PRF1,0.007221449,0.030589055,0.037984237,0.0,0.00022639334,0.0,0.0,0.0,-0.0015625616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008703662
IFNG,0.00019245205,0.0015300012,0.0016865628,-0.00016525123,-9.787504e-05,-0.0009196179,0.0,0.00045579774,-0.00010309657,-0.00048330417,0.00026368775,0.0,-5.9689628e-05,0.0,0.0,-0.00014582288,0.0005628356,0.0,-0.00033880497,0.0,0.0,0.00064366317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029026257
KRAS,0.0,0.0,0.0,0.0,0.0,-0.0021527081,0.0,0.0,0.0,0.0,-0.0008189363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011087125
FOS,-0.000627645,0.0,0.0,0.0,0.0007184885,0.0007007205,0.000112859954,0.0,2.0483858e-06,0.0,-2.995329e-05,0.0,0.0,0.0003721871,0.0010478133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00081279816
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013910319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005178364
IRF8,-0.001970368,0.0,0.0,0.008376465,0.0,0.0,0.0,0.0,-0.0015760921,-0.0038410537,0.0,0.0,0.0,0.0,0.0,0.0,0.00631092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042963456
IRF2,0.0,0.0,0.0,0.008079343,0.0,0.0,0.0,0.0034861658,0.001962611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023907083
