,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
IL2,0.001956186,0.0021465812,0.0,0.0,0.0054306714,-0.00041298367,0.0,0.0,0.0,-0.0016719487,-0.00047641195,0.0,1.0852545e-05,4.7327354e-05,7.486952e-07,-1.1358834e-07,0.005254389
IRF1,0.015535374,-0.0016553325,0.011112259,-0.0026208418,-0.00094505865,0.005701399,-0.014407704,0.004146247,0.0012027895,0.031712696,0.017054973,4.600471e-05,0.016432736,0.0,0.0,0.0,0.0036093548
CCND1,0.0018243829,0.0013878767,0.0,-0.0013870917,0.00092618045,0.0,0.0031514592,-5.6832767e-05,0.0,0.0,0.0,0.0,-0.00034121392,0.0,0.00075806415,-0.000103484126,-0.0010716185
PRF1,0.07177696,0.006901279,0.02499584,0.0,-0.017851654,1.8015653e-05,-0.021904003,0.0,-5.0529447e-06,0.0,-0.0001608632,0.0,0.0,0.0,5.8637692e-05,-0.00011880828,-0.015092246
IFNG,0.0046384796,-0.0019734786,0.0019881972,-0.0010717878,-0.004032211,-0.0035811302,-0.0003644418,0.011124316,0.0011948033,-0.00077690574,-0.0012646385,-0.00010985944,0.0035577253,-0.00022437303,-0.0037526425,0.0,-0.0010234332
SMC3,0.0,7.43163e-05,0.00020696854,0.0,0.0,-0.005403868,6.1067134e-08,0.0,0.00034656172,-6.8383147e-06,-0.00024270234,0.0,0.0,0.00023568212,0.0,0.0003206922,-0.008078327
IRF8,-0.0026795466,0.0,0.0,0.018808324,0.0,3.7346967e-06,-0.021067046,-0.0012090208,0.0,0.0,7.286903e-05,0.0087054055,0.0,0.0,-4.5508463e-05,0.0,-0.0006888909
IRF2,1.7871431e-06,0.0,-1.7012408e-06,0.022925839,-0.00073277374,0.027064675,-0.025443867,3.7228333e-06,1.4064155e-06,0.0,2.2683973e-05,0.0,0.0,0.0,0.0,5.805014e-07,0.01695187
IFNB1,0.0,2.537478e-08,0.0,0.0011690861,-1.0586607e-07,0.00074241124,-0.00536735,-0.00088976324,0.0,-0.0011695342,0.0012126531,0.0035492703,0.0017002715,0.0033975996,-0.003322022,0.0,0.00016022396
CCL4,0.0,0.0,0.0,0.06885529,-5.909873e-08,0.0,0.0,5.3122467e-06,-2.659154e-07,0.0,0.0,0.17162243,0.0,0.0,0.0,0.0,0.054256804
