,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
IL2,0.004221446,0.0030770202,0.0,0.0,0.0008815259,0.00082596735,0.0,0.0,0.0,0.004160804,0.00095282396,0.0,2.170509e-05,9.4654715e-05,1.4973905e-06,2.2717668e-07,0.0031887526
IRF1,0.007291776,0.003658044,0.0142569635,0.0059086047,0.008682871,0.0041111503,0.0061020874,0.0037864621,0.009399137,0.016725425,0.006302782,9.200942e-05,0.007374043,0.0,0.0,0.0,0.013191514
CCND1,0.003977578,0.0047027366,0.0,0.0037209624,0.0028959315,0.0,0.0029872574,0.000113665534,0.0,0.0,0.0,0.0,0.00068242784,0.0,0.0015161284,0.00020696824,0.0038927454
PRF1,0.048943833,0.006100589,0.006155932,0.0,0.003718461,3.603131e-05,0.0073791062,0.0,1.0105889e-05,0.0,0.0003217264,0.0,0.0,0.0,0.00011727539,0.00023761658,0.010289567
IFNG,0.008097936,0.0065784566,0.00780425,0.006246521,0.006558892,0.0036799253,0.00546973,0.005511596,0.0034694674,0.0067223376,0.0021325003,0.004350355,0.00705081,0.00044874605,0.006142613,0.0,0.006860353
SMC3,0.0,0.0001486326,0.00041393706,0.0,0.0,0.00490042,1.2213427e-07,0.0,0.00069312355,1.3676629e-05,0.0004854047,0.0,0.0,0.00047136424,0.0,0.0006413844,0.0025138904
IRF8,0.0054962207,0.0,0.0,0.0050472,0.0,7.4693935e-06,0.00450522,0.006030803,0.0,0.0,0.00014573804,0.002303067,0.0,0.0,9.1016926e-05,0.0,0.014517109
IRF2,3.5742862e-06,0.0,3.4024815e-06,0.0014370261,0.0014655475,0.0057184696,0.00428136,7.4456666e-06,2.812831e-06,0.0,4.5367946e-05,0.0,0.0,0.0,0.0,1.1610028e-06,0.0064482833
IFNB1,0.0,5.0749563e-08,0.0,0.0024432673,2.1173214e-07,0.0068543144,0.0015226536,0.0036002651,0.0,0.007522682,0.0023058478,0.0039400095,0.0019386978,0.0019361216,0.0049026357,0.0,0.0034539322
CCL4,0.0,0.0,0.0,0.012579066,1.1819747e-07,0.0,0.0,1.0624494e-05,5.318308e-07,0.0,0.0,0.033428755,0.0,0.0,0.0,0.0,0.005825531
SOCS3,0.006523586,0.004107799,0.0055175084,0.00016254764,0.008261524,0.0,0.007703873,0.0,0.0072572203,7.2563475e-05,0.0,9.589334e-05,6.599631e-05,0.0,0.0,6.9375885e-05,0.013166119
