,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
IL2,0.054456957,0.05540247,0.0,0.0,0.052943725,0.021264417,0.0,0.0,0.0,0.05490024,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.054476567
IRF1,0.05811774,0.059044324,0.05860989,0.056293637,0.05590234,0.057509325,0.057396732,0.059672378,0.05641219,0.05706802,0.05391872,0.021264417,0.057653643,0.0,0.0,0.0,0.056694914
CCND1,0.055644512,0.05767993,0.0,0.05426109,0.055580996,0.0,0.054905336,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.05472257
PRF1,0.058856063,0.056554597,0.056291275,0.0,0.053446006,0.021264417,0.054594226,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.053486206
IFNG,0.055763714,0.057481337,0.054833435,0.05623558,0.05546549,0.05741375,0.054669846,0.05771782,0.05814425,0.05726073,0.05610312,0.055506967,0.056432277,0.021264417,0.055457134,0.0,0.056511186
SMC3,0.0,0.021264417,0.021264417,0.0,0.0,0.05402442,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.055423282
IRF8,0.057382084,0.0,0.0,0.056461107,0.0,0.021264417,0.055503078,0.058111608,0.0,0.0,0.021264417,0.054375835,0.0,0.0,0.021264417,0.0,0.054885287
IRF2,0.021264417,0.0,0.021264417,0.056642525,0.021264417,0.05516057,0.053907406,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.0550961
IFNB1,0.0,0.021264417,0.0,0.055750232,0.021264417,0.056254663,0.05755653,0.05717979,0.0,0.056815177,0.05389749,0.05487582,0.058523,0.054739635,0.054900717,0.0,0.053811617
CCL4,0.0,0.0,0.0,0.05903565,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.059045874,0.0,0.0,0.0,0.0,0.05606742
SOCS3,0.056533657,0.055488907,0.056324877,0.021264417,0.054422427,0.0,0.05744967,0.0,0.05633382,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.055896603
CD40,0.0,0.021264417,0.021264417,0.05445119,0.021264417,0.021264417,0.05311635,0.0,0.055188447,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.053870462
TNF,0.05571694,0.0,0.056630265,0.054409884,0.054153644,0.056132473,0.055054408,0.055968244,0.055521376,0.055780232,0.053108692,0.05573646,0.0,0.021264417,0.021264417,0.021264417,0.056351375
IL18,0.0558286,0.0,0.0,0.0545279,0.0,0.021264417,0.021264417,0.055314533,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.05474048
OSM,0.057010137,0.055932652,0.021264417,0.0,0.053896196,0.021264417,0.055167966,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.055539913
HSPA4,0.021264417,0.0,0.0,0.054109715,0.05366186,0.0,0.055701483,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.053890873
HSP90AB1,0.021264417,0.021264417,0.0,0.021264417,0.056613456,0.0,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.057150222
IL1B,0.0,0.0,0.0,0.055281866,0.05442,0.056930292,0.05615573,0.058853,0.0,0.05731771,0.0,0.056502413,0.021264417,0.021264417,0.021264417,0.021264417,0.055227883
STAT5A,0.055673413,0.05637365,0.0,0.021264417,0.052701242,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.053887732
IL7R,0.057848107,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.021264417,0.054774057
JUNB,0.0,0.021264417,0.021264417,0.0,0.05705447,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.058452465
SLPI,0.054848265,0.057648163,0.0,0.055234987,0.05341044,0.021264417,0.05514869,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.055295907
FOS,0.05551513,0.021264417,0.0,0.0,0.055329643,0.0,0.055346124,0.0,0.055105753,0.0,0.0,0.021264417,0.0,0.0,0.0,0.0,0.0539952
CAMK4,0.021264417,0.0,0.021264417,0.05401368,0.021264417,0.056804262,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.05404339
LGALS3,0.0,0.021264417,0.021264417,0.05676077,0.021264417,0.05845164,0.05940155,0.0,0.0,0.0,0.0,0.0,0.021264417,0.0,0.0,0.0,0.056599785
IL6,0.0568703,0.021264417,0.0,0.056038223,0.054588806,0.057081014,0.056398265,0.0,0.0,0.056634188,0.056090623,0.05392524,0.056548424,0.021264417,0.0,0.021264417,0.056857675
