,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,-4.1501422e-05,9.5609066e-05,0.0,0.0,-9.552493e-05,2.9315415e-06,0.0,0.0,0.0,0.0,0.0,0.0,-7.580485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.055773e-05
IRF1,-0.0005465086,0.0073680542,0.0027358115,-0.0011013594,-0.00027524208,0.0,0.0,0.0030662988,0.0011699252,0.00091102795,-0.0001236707,0.0,0.007770133,0.0,0.0,0.0020611163,0.0,0.0,0.003921938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015743893
CCND1,-0.00011244917,-9.86939e-05,0.0,0.00012574266,-0.00013051633,0.0,0.000414889,0.0,-0.00019796025,0.0,0.0,0.0,0.0,-0.0004341284,0.0,0.0,0.0,0.0,0.0,0.0,-5.4806285e-05,0.0,0.0,0.0,-0.00012777955,0.00020491223,0.0,0.0,0.0,0.0,-0.000112592104
PRF1,0.0013000875,0.019331897,0.0029012305,0.0,-0.0027313114,0.0,0.0,0.0,0.0033179484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045340005
IFNG,4.199727e-05,0.0011288458,0.00012961419,-0.0002514369,-5.215223e-05,2.5498255e-05,0.0,-0.00039183526,0.00018515169,-4.0882856e-05,-1.5247031e-06,0.0,-0.00085246767,0.0,0.0,-0.00012090271,0.000111125686,0.0,-0.00023643191,0.0,0.0,-0.00015527796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002638981
KRAS,0.0,0.0,0.0,0.0,0.0,-0.0005929143,0.0,0.0,0.0,0.0,-0.00044390233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011716932
FOS,-0.0023461874,0.0,0.0,0.0,0.0005773038,0.0035085597,0.0004076059,0.0,-0.002136207,0.0,-0.0019773014,0.0,0.0,0.0020584266,-0.0014507158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019419284
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028215913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018389716
IRF8,-0.0039228695,0.0,0.0,0.002323171,0.0,0.0,0.0,0.0,0.0025887094,-0.0039492166,0.0,0.0,0.0,0.0,0.0,0.0,0.0032502387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017528802
IRF2,0.0,0.0,0.0,0.0055484385,0.0,0.0,0.0,0.0014207962,0.005637001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028276336
BCL2,-0.0005454219,-0.00053263415,0.0,0.00019456322,-0.00010902941,-0.00026750454,0.0,0.0,0.0,-0.0007843034,0.0,0.0,0.0,-0.00015875723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004593859,0.0,0.0,0.0,0.00053989573
IFNB1,0.0,0.0,0.0,0.00013166793,0.0,0.0,0.0,-0.0002518194,-1.775712e-06,0.00011765307,0.0,0.0,0.00017233174,0.0,0.0,-2.4209603e-05,0.00038027603,0.0,0.00033510014,-0.0001967405,1.333782e-05,1.0534663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026236722
CCL4,0.0,0.0,0.0,0.011435015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084636785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01018423
SOCS3,-0.0012347924,-0.001001964,0.0011785919,0.0,-0.00041765565,-3.8732647e-05,0.0,0.0,-0.0013882876,0.0,0.00046460368,-0.0017461044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000634805
CD40,0.0,0.0,0.0,0.0061672097,0.0,0.0,0.0,0.0,0.0038261875,0.0,0.0014527347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004088182
TNF,-3.2079366e-05,0.0,-0.001161484,-0.00029477585,0.0008935568,0.0,0.0,-0.0007125798,0.000167752,-0.00032850628,-0.0004377841,0.00053065375,0.00025280268,0.0,0.0,-0.0008217831,0.002768208,0.0,0.0,0.0,-2.6844278e-05,0.0,0.0,8.100341e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00056784425
IL18,-0.00047301542,0.0,0.0,0.00017888793,0.0,0.0,0.0,0.0,0.0,0.0007933829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035554147
OSM,-0.001557871,-0.002017192,0.0,0.0,0.001253884,0.0,0.0,0.0,-0.0014638597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026034683
HSPA4,0.0,0.0,0.0,-0.0003299824,-0.00010229605,0.0,0.0,0.0,-0.00084673037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005956059
APEX1,0.0,0.0,0.0,0.0,-0.0023499834,0.0,0.0,0.0,0.0,0.0,0.0,-0.00086100755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00401543
HSP90AB1,0.0,0.0,0.0,0.0,0.0009149013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01779317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008522157
IL1B,0.0,0.0,0.0,-0.004773299,0.0038399112,0.0,0.0,-0.008428653,-0.0027821544,0.004908125,0.0,0.0,-0.004011653,0.0,0.0,0.0,0.010336364,0.0,0.0,0.0,-0.005331619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005365465
BLK,0.0,0.0,0.0,0.0,0.0,-1.841416e-05,0.0,0.0,0.0,0.0,0.0,0.0006367937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007329145
STAT5A,0.0002944877,0.00026194137,0.0,0.0,-0.00016511661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038113477
IL7R,-0.0056738714,0.0,0.0,0.0,0.0,-0.002037478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012145845
JUNB,0.0,0.0,0.0,0.0,0.0037239946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007498129
SLPI,0.00013257042,5.7947753e-05,0.0,4.101565e-05,8.185877e-06,0.0,0.0,0.0,-0.0002751173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000106792046
