,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,7.913517e-05,0.00031448333,0.0,0.0,0.00029844703,0.00026261434,0.0,0.0,0.0,0.0,0.0,0.0,0.00035166982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002284084
IRF1,0.0033500479,0.0022841736,0.003729797,0.0029812239,0.0036993357,0.0,0.0,0.0023145229,0.005971011,0.001989237,0.0050998176,0.0,0.0049389345,0.0,0.0,0.0058011175,0.0,0.0,0.007457759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037941304
CCND1,0.00028920395,0.00047684883,0.0,0.00056122715,0.00036017795,0.0,0.0008745225,0.0,0.00039461255,0.0,0.0,0.0,0.0,0.0005709167,0.0,0.0,0.0,0.0,0.0,0.0,0.00035899365,0.0,0.0,0.0,0.00049425534,0.00063045014,0.0,0.0,0.0,0.0,0.0007006908
PRF1,0.013458945,0.03763764,0.006264119,0.0,0.006722522,0.0,0.0,0.0,0.012170341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058074715
IFNG,0.0011128086,0.00226115,0.0011747766,0.0010825658,0.0008739294,0.001133685,0.0,0.0007317581,0.0011063595,0.0011010646,0.0009615614,0.0,0.0014082348,0.0,0.0,0.0009062678,0.0014677586,0.0,0.0016737698,0.0,0.0,0.00066474685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008446255
KRAS,0.0,0.0,0.0,0.0,0.0,0.002969313,0.0,0.0,0.0,0.0,0.0026954773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682696
FOS,0.0013972726,0.0,0.0,0.0,0.0039867954,0.0052181357,0.0021727264,0.0,0.006316959,0.0,0.0012631925,0.0,0.0,0.0073287925,0.008085026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041036042
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021116305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039840345
IRF8,0.0024633303,0.0,0.0,0.012020171,0.0,0.0,0.0,0.0,0.00914541,0.0028230373,0.0,0.0,0.0,0.0,0.0,0.0,0.0013427649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053887498
IRF2,0.0,0.0,0.0,0.008097221,0.0,0.0,0.0,0.005189258,0.012242683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036227796
BCL2,0.0007809761,0.0012038623,0.0,0.0010333294,0.0015959421,0.0013360847,0.0,0.0,0.0,0.0007717967,0.0,0.0,0.0,0.0010227016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014112373,0.0,0.0,0.0,0.0019796574
IFNB1,0.0,0.0,0.0,0.0005728006,0.0,0.0,0.0,0.00038803433,0.0006473964,0.0005377996,0.0,0.0,0.0006205349,0.0,0.0,0.00046169604,0.0011400145,0.0,0.000348912,0.00040988054,0.00060542626,0.0006207381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040334096
CCL4,0.0,0.0,0.0,0.018772336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043404857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016680295
