target,tf,weight,iteration
IL2,STAT5A,0.056363154,0
IRF1,STAT5A,0.060835183,0
CCND1,STAT5A,0.05979202,0
PRF1,STAT5A,0.058915354,0
IFNG,STAT5A,0.062396955,0
KRAS,STAT5A,0.0,0
FOS,STAT5A,0.058282442,0
SMC3,STAT5A,0.0,0
IRF8,STAT5A,0.059735026,0
IRF2,STAT5A,0.0,0
BCL2,STAT5A,0.058513787,0
IFNB1,STAT5A,0.0,0
CCL4,STAT5A,0.0,0
SOCS3,STAT5A,0.059701405,0
CD40,STAT5A,0.0,0
TNF,STAT5A,0.058133695,0
IL18,STAT5A,0.05835391,0
OSM,STAT5A,0.05987062,0
HSPA4,STAT5A,0.0,0
APEX1,STAT5A,0.0,0
HSP90AB1,STAT5A,0.0,0
IL1B,STAT5A,0.0,0
BLK,STAT5A,0.0,0
STAT5A,STAT5A,0.059644926,0
IL7R,STAT5A,0.058295947,0
JUNB,STAT5A,0.0,0
SLPI,STAT5A,0.05610881,0
CDKN1C,STAT5A,0.0,0
CAMK4,STAT5A,0.0,0
LGALS3,STAT5A,0.0,0
IL6,STAT5A,0.058090053,0
STAT5B,STAT5A,0.058300186,0
MAFB,STAT5A,0.0,0
STAT3,STAT5A,0.05970682,0
CD19,STAT5A,0.0,0
MYC,STAT5A,0.058493506,0
FCER1G,STAT5A,0.0,0
CCL5,STAT5A,0.0,0
FASLG,STAT5A,0.0,0
MAPK8,STAT5A,0.05798203,0
MYB,STAT5A,0.0,0
BIRC3,STAT5A,0.0,0
CD86,STAT5A,0.0,0
CDKN2D,STAT5A,0.0,0
SOCS1,STAT5A,0.057935502,0
MMP9,STAT5A,0.0,0
CDK4,STAT5A,0.0,0
CDKN2A,STAT5A,0.0,0
CEBPD,STAT5A,0.0,0
SH2D1A,STAT5A,0.0,0
IL10,STAT5A,0.057872437,0
CDKN1B,STAT5A,0.0,0
PIK3R1,STAT5A,0.060420044,0
ACTB,STAT5A,0.0,0
CCND2,STAT5A,0.05637064,0
MSR1,STAT5A,0.0,0
LCK,STAT5A,0.0,0
ACAT1,STAT5A,0.0,0
ACP5,STAT5A,0.0,0
TNFSF11,STAT5A,0.056912042,0
SHC1,STAT5A,0.059248205,0
PPIG,STAT5A,0.0,0
NCAM1,STAT5A,0.0,0
CTNND1,STAT5A,0.0,0
CBL,STAT5A,0.0,0
CISH,STAT5A,0.05822233,0
LYZ,STAT5A,0.0,0
JUN,STAT5A,0.0,0
IFI27,STAT5A,0.0,0
PTPN2,STAT5A,0.058013543,0
SPI1,STAT5A,0.0,0
HBG1,STAT5A,0.0,0
ECE1,STAT5A,0.0,0
IRF7,STAT5A,0.0,0
CCL2,STAT5A,0.06607638,0
MMP7,STAT5A,0.0,0
IFIT1,STAT5A,0.0,0
OSGEP,STAT5A,0.0,0
FCER2,STAT5A,0.0,0
ID3,STAT5A,0.0,0
NPTX1,STAT5A,0.0,0
ACACA,STAT5A,0.060040336,0
NF1,STAT5A,0.056509364,0
ODC1,STAT5A,0.0,0
CCNB1,STAT5A,0.0,0
CXCL9,STAT5A,0.056487,0
CTSB,STAT5A,0.0,0
CCL3,STAT5A,0.0,0
RETNLB,STAT5A,0.0,0
HBB,STAT5A,0.059440345,0
ISG15,STAT5A,0.0,0
S100A10,STAT5A,0.0,0
DPAGT1,STAT5A,0.057969186,0
CD68,STAT5A,0.0,0
DLL1,STAT5A,0.0585817,0
EBF1,STAT5A,0.0580132,0
PAX5,STAT5A,0.058705915,0
NQO1,STAT5A,0.0,0
IFIT2,STAT5A,0.0,0
GATA3,STAT5A,0.0,0
GAS1,STAT5A,0.059034716,0
SLC19A2,STAT5A,0.0,0
EIF2AK2,STAT5A,0.0,0
DMD,STAT5A,0.0,0
DNASE1,STAT5A,0.0,0
PRKCA,STAT5A,0.0,0
MDM2,STAT5A,0.0,0
FAS,STAT5A,0.0,0
CA2,STAT5A,0.0,0
IL2RA,STAT5A,0.057482984,0
HDC,STAT5A,0.0,0
PIM1,STAT5A,0.05914927,0
SPP1,STAT5A,0.0,0
CCND3,STAT5A,0.058140915,0
TRH,STAT5A,0.0,0
LAT,STAT5A,0.0,0
CASP8,STAT5A,0.0,0
ERAP1,STAT5A,0.0,0
