,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,-0.0021674526,0.00103809,0.0,0.0,0.0015239964,0.00047142833,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013612522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013317813
IRF1,-0.0030375817,-0.002825357,-0.0012155172,0.004465667,0.0014065028,0.0,0.0,0.008785998,0.0017354151,0.0042786235,0.00023173369,0.0,0.0017700965,0.0,0.0,0.004620049,0.0,0.0,4.6331697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002565551
CCND1,-0.002089351,-0.0017327974,0.0,0.0015052811,0.002623121,0.0,-0.00085891446,0.0,0.0026465324,0.0,0.0,0.0,0.0,0.0015897987,0.0,0.0,0.0,0.0,0.0,0.0,0.00042015425,0.0,0.0,0.0,0.0011945162,-0.00036972068,0.0,0.0,0.0,0.0,0.00057352486
PRF1,0.00057243934,0.0010217243,-0.0009119888,0.0,-0.007826595,0.0,0.0,0.0,-0.0046574455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009542871
IFNG,-0.0005977654,0.0025811177,-0.00084663584,-0.00048020147,0.00015125281,0.0009134722,0.0,-0.0002901165,-0.0026709721,-0.0013829407,-0.0017112034,0.0,0.0021295242,0.0,0.0,-0.0013355331,0.0007026447,0.0,-0.0029974687,0.0,0.0,-0.00055867137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026173303
KRAS,0.0,0.0,0.0,0.0,0.0,-0.007777968,0.0,0.0,0.0,0.0,-0.00236267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006923725
FOS,0.0005464285,0.0,0.0,0.0,0.016803022,0.017977735,0.0022352238,0.0,0.013549854,0.0,0.013278587,0.0,0.0,0.005037888,-0.0010112022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021904062
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018332184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075949356
IRF8,-0.00082216563,0.0,0.0,0.010378349,0.0,0.0,0.0,0.0,-0.003592892,0.0023961507,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036082454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00856092
IRF2,0.0,0.0,0.0,0.003426855,0.0,0.0,0.0,-0.00073077064,-0.00051607296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039143808
BCL2,-0.00073994615,0.00034611876,0.0,0.0030722017,-0.0016169623,-0.0011333381,0.0,0.0,0.0,-0.005183953,0.0,0.0,0.0,-4.708257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015735753,0.0,0.0,0.0,-0.0019281929
IFNB1,0.0,0.0,0.0,0.0016220926,0.0,0.0,0.0,-0.00071631256,0.0010335713,-0.0012884329,0.0,0.0,0.0008269601,0.0,0.0,-0.001155029,-0.0020240508,0.0,-0.000962028,-0.0003383328,-0.0012908072,0.0006168231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008282928
CCL4,0.0,0.0,0.0,-0.0044151107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06098373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035871454
SOCS3,-0.0008378256,-0.0039967196,0.000545238,0.0,0.001207366,0.0020713848,0.0,0.0,0.0038999221,0.0,0.0027272718,-4.7277754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009339664
CD40,0.0,0.0,0.0,0.012908079,0.0,0.0,0.0,0.0,0.0029716468,0.0,-0.002022315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016592189
TNF,-0.0017207566,0.0,0.0006427807,0.0040125623,0.0012991906,0.0,0.0,-0.001841354,0.00021952845,0.002921084,0.00041057175,7.176716e-05,-0.003053337,0.0,0.0,0.0018616462,8.307994e-05,0.0,0.0,0.0,-5.922324e-05,0.0,0.0,0.000621901,0.0,0.0,0.0,0.0,0.0,0.0,-0.000104820196
IL18,-0.0001600312,0.0,0.0,-0.00038719215,0.0,0.0,0.0,0.0,0.0,0.00046125878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053039566
OSM,0.0044182264,0.0018311257,0.0,0.0,0.020434814,0.0,0.0,0.0,0.02037026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028285215
HSPA4,0.0,0.0,0.0,0.00022029974,-0.0031892373,0.0,0.0,0.0,-0.0011300009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036995244
APEX1,0.0,0.0,0.0,0.0,-0.021500755,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013592291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020275053
HSP90AB1,0.0,0.0,0.0,0.0,-0.024343176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028233856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028097555
IL1B,0.0,0.0,0.0,0.008633079,0.04707313,0.0,0.0,-0.0030628718,0.033366453,0.012482219,0.0,0.0,0.019709239,0.0,0.0,0.0,0.034751542,0.0,0.0,0.0,0.044445675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063555256
BLK,0.0,0.0,0.0,0.0,0.0,-0.00094875507,0.0,0.0,0.0,0.0,0.0,0.0003110879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026901104
STAT5A,0.000997946,0.00012159765,0.0,0.0,-0.0013836932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012020527
IL7R,-0.003929665,0.0,0.0,0.0,0.0,-0.049746566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388978
JUNB,0.0,0.0,0.0,0.0,0.04837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053267162
SLPI,-0.004575087,0.0009016531,0.0,0.00015480889,-0.00045082122,0.0,0.0,0.0,-0.0015956359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013632386
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.002103743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014045176,0.0,0.0,0.0,0.0,0.0,0.0,0.0027555493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021138147
CAMK4,0.0,0.0,0.0,-0.01029811,0.0,0.0,0.0,0.0036936067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017601434
LGALS3,0.0,0.0,0.0,0.060436744,0.0,0.15953745,0.0,0.010327818,0.13099475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941005
IL6,0.0010644926,0.0,0.0,0.0026927611,-0.0031394581,0.0,0.0,-0.0007480208,-0.00072728965,0.0,0.0,-0.0004119859,-0.00127888,0.0,0.0,-1.6923994e-05,0.0021191563,0.0,-0.0011185782,0.0,0.0004675313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006987544
STAT5B,0.00089332496,-0.001434128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019420082
MAFB,0.0,0.0,0.0,0.0,0.07190717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010969484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09408287
STAT3,0.0019173746,0.0,0.0,0.0,-0.002746791,0.0,0.0,0.0,-0.0020473204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048740706
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023035936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004269379
MYC,0.0006124158,0.0,0.002128375,0.0,-0.017304312,-0.012872033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042169895,0.0,0.0017196018,0.0,0.0,0.0014275091,0.0,0.0,0.0,0.0,-0.015412684
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29023108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35959765
CCL5,0.0,0.0,0.0,-0.013600682,-0.033575505,0.0,0.0,0.013016413,-0.015977714,0.01734927,0.0,0.0,0.0,0.0,0.0,0.034658533,0.065739945,0.0,0.0,0.08219222,0.0,0.0,0.0,0.0,0.0,0.0,0.07251952,0.0,0.0,0.0,-0.03915237
FASLG,0.0,0.0,0.0,-0.00037861645,-0.0007404338,0.0,0.0,0.0016018869,-0.0017142852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004570284
MAPK8,0.00025255466,0.0,0.0,-0.0013634785,-0.0022352217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001131412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022260668
MYB,0.0,0.0,0.0,0.001441715,0.0006254512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012894894
BIRC3,0.0,0.0,0.0,0.008138308,-0.04549584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00471101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06251015
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02299,0.0,0.02417276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070926673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035580184
CDKN2D,0.0,0.0,0.0,0.0,-0.0024126037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018695997
