,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.004335547,0.0053049927,0.0,0.0,0.004679571,0.004147155,0.0,0.0,0.0,0.0,0.0,0.0,0.0058003855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068179723
IRF1,0.0058077034,0.003278166,0.0050803823,0.0044350643,0.0031198899,0.0,0.0,0.010414083,0.003605857,0.006465531,0.006508146,0.0,0.0064729895,0.0,0.0,0.0071886335,0.0,0.0,0.00639116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007238987
CCND1,0.006476864,0.0029196707,0.0,0.003318691,0.0054688524,0.0,0.007446555,0.0,0.0039833877,0.0,0.0,0.0,0.0,0.0043367567,0.0,0.0,0.0,0.0,0.0,0.0,0.005733149,0.0,0.0,0.0,0.0032035972,0.0039072637,0.0,0.0,0.0,0.0,0.0052972776
PRF1,0.0054913727,0.004989745,0.009746253,0.0,0.0089736385,0.0,0.0,0.0,0.010348197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011734303
IFNG,0.0057632276,0.0037049428,0.005028662,0.003465227,0.0064464426,0.0053072674,0.0,0.00622158,0.004665254,0.00491261,0.004755338,0.0,0.006854863,0.0,0.0,0.006722925,0.0062675364,0.0,0.00818309,0.0,0.0,0.0045697177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042476146
KRAS,0.0,0.0,0.0,0.0,0.0,0.0061849835,0.0,0.0,0.0,0.0,0.009540436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007757544
FOS,0.0037740746,0.0,0.0,0.0,0.017323246,0.006910393,0.005425281,0.0,0.021444125,0.0,0.019941512,0.0,0.0,0.0058095637,0.006101721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023176279
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075645586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074954154
IRF8,0.006034377,0.0,0.0,0.016349772,0.0,0.0,0.0,0.0,0.010612941,0.0049748397,0.0,0.0,0.0,0.0,0.0,0.0,0.007136494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00617803
IRF2,0.0,0.0,0.0,0.0055561136,0.0,0.0,0.0,0.005566657,0.0034238664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006805242
