,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.057390243,0.058528334,0.0,0.0,0.055350423,0.056162447,0.0,0.0,0.0,0.0,0.0,0.0,0.059088696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056064416
IRF1,0.059793223,0.05959738,0.055051845,0.057124138,0.057057697,0.0,0.0,0.056724936,0.056767754,0.05958178,0.05619816,0.0,0.060306422,0.0,0.0,0.058377683,0.0,0.0,0.056975193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057371743
CCND1,0.059067078,0.05911218,0.0,0.056816358,0.056081243,0.0,0.059161555,0.0,0.055890918,0.0,0.0,0.0,0.0,0.055327795,0.0,0.0,0.0,0.0,0.0,0.0,0.057014357,0.0,0.0,0.0,0.058621157,0.058632214,0.0,0.0,0.0,0.0,0.056703098
PRF1,0.058431946,0.058705706,0.054521114,0.0,0.055952154,0.0,0.0,0.0,0.056306712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057070382
IFNG,0.05871914,0.05908368,0.055208325,0.056801926,0.05602934,0.05593174,0.0,0.05656318,0.05706798,0.058217473,0.05669297,0.0,0.058692474,0.0,0.0,0.058183342,0.055342756,0.0,0.056526683,0.0,0.0,0.058596604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05675987
KRAS,0.0,0.0,0.0,0.0,0.0,0.055819273,0.0,0.0,0.0,0.0,0.056341074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05601745
FOS,0.059337597,0.0,0.0,0.0,0.0567502,0.056107223,0.059497874,0.0,0.057262808,0.0,0.057489377,0.0,0.0,0.05587364,0.060491044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05750201
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05532249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05659437
IRF8,0.058899473,0.0,0.0,0.056079447,0.0,0.0,0.0,0.0,0.055837344,0.05857884,0.0,0.0,0.0,0.0,0.0,0.0,0.054959465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055737525
IRF2,0.0,0.0,0.0,0.0562343,0.0,0.0,0.0,0.056173883,0.056470938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056250583
