target,tf,weight,iteration
IL2,STAT5A,-0.003212542,0
IRF1,STAT5A,0.0076857423,0
CCND1,STAT5A,0.009908089,0
PRF1,STAT5A,0.006646293,0
IFNG,STAT5A,0.0025009655,0
KRAS,STAT5A,0.0,0
FOS,STAT5A,0.008028891,0
SMC3,STAT5A,0.0,0
IRF8,STAT5A,0.004352462,0
IRF2,STAT5A,0.0,0
BCL2,STAT5A,-0.005883604,0
IFNB1,STAT5A,0.0,0
CCL4,STAT5A,0.0,0
SOCS3,STAT5A,0.0015871266,0
CD40,STAT5A,0.0,0
TNF,STAT5A,-0.00072094053,0
IL18,STAT5A,-0.0020752198,0
OSM,STAT5A,0.009330695,0
HSPA4,STAT5A,0.0,0
APEX1,STAT5A,0.0,0
HSP90AB1,STAT5A,0.0,0
IL1B,STAT5A,0.0,0
BLK,STAT5A,0.0,0
STAT5A,STAT5A,0.00031652095,0
IL7R,STAT5A,-0.019584032,0
JUNB,STAT5A,0.0,0
SLPI,STAT5A,-0.008921438,0
CDKN1C,STAT5A,0.0,0
CAMK4,STAT5A,0.0,0
LGALS3,STAT5A,0.0,0
IL6,STAT5A,-0.0009771921,0
STAT5B,STAT5A,0.0017586232,0
MAFB,STAT5A,0.0,0
STAT3,STAT5A,0.0078906845,0
CD19,STAT5A,0.0,0
MYC,STAT5A,-0.006914544,0
FCER1G,STAT5A,0.0,0
CCL5,STAT5A,0.0,0
FASLG,STAT5A,0.0,0
MAPK8,STAT5A,0.0027117205,0
MYB,STAT5A,0.0,0
BIRC3,STAT5A,0.0,0
CD86,STAT5A,0.0,0
CDKN2D,STAT5A,0.0,0
SOCS1,STAT5A,0.0018579133,0
MMP9,STAT5A,0.0,0
CDK4,STAT5A,0.0,0
CDKN2A,STAT5A,0.0,0
CEBPD,STAT5A,0.0,0
SH2D1A,STAT5A,0.0,0
IL10,STAT5A,-0.0004102645,0
CDKN1B,STAT5A,0.0,0
PIK3R1,STAT5A,-0.0011789311,0
ACTB,STAT5A,0.0,0
CCND2,STAT5A,-0.004573729,0
MSR1,STAT5A,0.0,0
LCK,STAT5A,0.0,0
ACAT1,STAT5A,0.0,0
ACP5,STAT5A,0.0,0
TNFSF11,STAT5A,-0.0049309377,0
SHC1,STAT5A,-0.003340909,0
PPIG,STAT5A,0.0,0
NCAM1,STAT5A,0.0,0
CTNND1,STAT5A,0.0,0
CBL,STAT5A,0.0,0
CISH,STAT5A,-0.002459766,0
LYZ,STAT5A,0.0,0
JUN,STAT5A,0.0,0
IFI27,STAT5A,0.0,0
PTPN2,STAT5A,-0.0035163243,0
SPI1,STAT5A,0.0,0
HBG1,STAT5A,0.0,0
ECE1,STAT5A,0.0,0
IRF7,STAT5A,0.0,0
CCL2,STAT5A,-0.005679977,0
MMP7,STAT5A,0.0,0
IFIT1,STAT5A,0.0,0
OSGEP,STAT5A,0.0,0
