,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,-4.256598e-06,0.00021365576,0.0,0.0,0.00016759698,-8.630983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011299793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.605978e-05
IRF1,0.0034416425,0.008978529,5.5154447e-05,-7.070841e-05,0.000489361,0.0,0.0,0.0027861095,0.0006653865,0.0012851857,0.00038143402,0.0,0.0022932303,0.0,0.0,0.002128675,0.0,0.0,0.0030152893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000821147
CCND1,-1.6971895e-05,9.41473e-05,0.0,0.0002726898,-0.0001184219,0.0,0.00017421413,0.0,-0.00032425974,0.0,0.0,0.0,0.0,-0.0002463099,0.0,0.0,0.0,0.0,0.0,0.0,0.0002972202,0.0,0.0,0.0,0.0001374907,0.00016717688,0.0,0.0,0.0,0.0,2.3470158e-05
PRF1,0.0133169545,-0.00039838688,-5.862237e-05,0.0,0.00056738954,0.0,0.0,0.0,8.9603054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020741862
IFNG,-0.00037099444,0.00013825425,0.0001419201,2.5148742e-05,0.00012150352,-8.130832e-05,0.0,0.0005969746,-0.00022096971,7.162875e-05,-6.303707e-05,0.0,0.00017555797,0.0,0.0,4.236502e-05,8.8183864e-05,0.0,0.00024850125,0.0,0.0,0.00036191358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0476021e-05
KRAS,0.0,0.0,0.0,0.0,0.0,-0.0007840263,0.0,0.0,0.0,0.0,0.00072425336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010010671
FOS,-0.0007217099,0.0,0.0,0.0,-0.00076941046,0.0026116467,0.0017828217,0.0,0.0010079237,0.0,0.001521142,0.0,0.0,-0.00026693376,0.0014001718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00090737996
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012491457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060593954
IRF8,-0.0005838804,0.0,0.0,0.0057648085,0.0,0.0,0.0,0.0,0.0006387944,-0.002131945,0.0,0.0,0.0,0.0,0.0,0.0,0.00048785517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00064055785
IRF2,0.0,0.0,0.0,0.0003689151,0.0,0.0,0.0,-0.0006329225,0.00033007562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031427268
BCL2,-0.00052483164,-0.00032395142,0.0,0.00061839336,0.00017216937,0.00047478956,0.0,0.0,0.0,-0.00052969856,0.0,0.0,0.0,0.0010319275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032235723,0.0,0.0,0.0,0.00084521854
IFNB1,0.0,0.0,0.0,2.9126712e-10,0.0,0.0,0.0,6.1414807e-10,4.5735868e-10,3.8826173e-10,0.0,0.0,2.3582136e-10,0.0,0.0,3.7507925e-10,1.8069633e-10,0.0,1.819682e-10,1.2063965e-10,2.697888e-10,5.311575e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7373133e-10
CCL4,0.0,0.0,0.0,-0.0021986153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052597236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041612695
SOCS3,-0.0023051067,0.0010290145,-0.0006979035,0.0,-0.000262147,0.00045789318,0.0,0.0,2.6525866e-05,0.0,0.0005091244,0.0008505659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000807029
CD40,0.0,0.0,0.0,0.006473196,0.0,0.0,0.0,0.0,0.0005975625,0.0,-0.00011656289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032811673
TNF,0.0003205423,0.0,0.00038183408,-0.00030547747,0.00013099168,0.0,0.0,-0.000472457,0.00046338481,0.0002136785,-0.00037299775,-0.00020892092,0.00038564196,0.0,0.0,-7.025827e-05,0.002303884,0.0,0.0,0.0,0.00032334987,0.0,0.0,8.983072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008546981
