,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.00016377169,0.0013188388,0.0,0.0,0.0006386732,0.00017342147,0.0,0.0,0.0,0.0,0.0,0.0,0.0007167689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026313035
IRF1,0.0032531891,0.005738341,0.0021749544,0.0013216017,0.0013865203,0.0,0.0,0.0037912433,0.0016495249,0.0016977302,0.003774525,0.0,0.0050656684,0.0,0.0,0.0026959963,0.0,0.0,0.0033634705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017440573
CCND1,0.000504959,0.0011824958,0.0,0.000671187,0.00027970126,0.0,0.0008004882,0.0,0.0005026723,0.0,0.0,0.0,0.0,0.0005503123,0.0,0.0,0.0,0.0,0.0,0.0,0.00043084298,0.0,0.0,0.0,0.000815493,0.0010875326,0.0,0.0,0.0,0.0,0.0005525469
PRF1,0.009285262,0.0023147825,0.0013241364,0.0,0.0036299175,0.0,0.0,0.0,0.0041790996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005515353
IFNG,0.0004071282,0.0009764573,0.00045634466,0.00046650655,0.00074417563,0.00062994746,0.0,0.0009804309,0.00050663925,0.0007438162,0.00035347688,0.0,0.0009223693,0.0,0.0,0.0004759747,0.0003442255,0.0,0.00059917435,0.0,0.0,0.0008044917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028300795
KRAS,0.0,0.0,0.0,0.0,0.0,0.0018497218,0.0,0.0,0.0,0.0,0.005338448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028524704
FOS,0.0013955934,0.0,0.0,0.0,0.005919979,0.0062727714,0.0025728997,0.0,0.008795855,0.0,0.0070345523,0.0,0.0,0.0050678337,0.00889528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008031108
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036613164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003237476
IRF8,0.001141547,0.0,0.0,0.007719925,0.0,0.0,0.0,0.0,0.004554062,0.0012293108,0.0,0.0,0.0,0.0,0.0,0.0,0.0020619053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001291364
IRF2,0.0,0.0,0.0,0.0016242764,0.0,0.0,0.0,0.0013828796,0.0009288921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023411284
BCL2,0.0010011538,0.0018094083,0.0,0.0016306718,0.0020634504,0.0026165925,0.0,0.0,0.0,0.0009217638,0.0,0.0,0.0,0.0015546342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016307246,0.0,0.0,0.0,0.0018179391
IFNB1,0.0,0.0,0.0,8.7380403e-10,0.0,0.0,0.0,1.8424642e-09,1.3720889e-09,1.1647867e-09,0.0,0.0,7.074758e-10,0.0,0.0,1.1251904e-09,5.420682e-10,0.0,5.4590105e-10,3.619304e-10,8.093057e-10,1.5934812e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4211957e-09
CCL4,0.0,0.0,0.0,0.0026633993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099997055
SOCS3,0.0024816808,0.0024451136,0.0040821848,0.0,0.0011705887,0.0023301747,0.0,0.0,0.0015626047,0.0,0.0015279433,0.0030057202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029111304
CD40,0.0,0.0,0.0,0.0064884587,0.0,0.0,0.0,0.0,0.0016165815,0.0,0.0014544748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031302006
TNF,0.000772351,0.0,0.00058670755,0.0016779295,0.001536878,0.0,0.0,0.00081409985,0.0009126699,0.001528415,0.0021080794,0.0015020092,0.0020336006,0.0,0.0,0.0014867169,0.0019837474,0.0,0.0,0.0,0.0011838826,0.0,0.0,0.0017270602,0.0,0.0,0.0,0.0,0.0,0.0,0.0013849343
IL18,0.0009695929,0.0,0.0,0.0010771272,0.0,0.0,0.0,0.0,0.0,0.0016142443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031517975
OSM,0.002991969,0.0027901279,0.0,0.0,0.009004034,0.0,0.0,0.0,0.012465345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010723787
HSPA4,0.0,0.0,0.0,0.0013086497,0.002617917,0.0,0.0,0.0,0.0022821582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020319128
APEX1,0.0,0.0,0.0,0.0,0.010383525,0.0,0.0,0.0,0.0,0.0,0.0,0.0029633865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010434129
HSP90AB1,0.0,0.0,0.0,0.0,0.01216721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040208656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010938331
IL1B,0.0,0.0,0.0,0.0023134807,0.015140726,0.0,0.0,0.01171783,0.011195087,0.024924265,0.0,0.0,0.029241167,0.0,0.0,0.0,0.0068526245,0.0,0.0,0.0,0.022967298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016707597
BLK,0.0,0.0,0.0,0.0,0.0,0.0028988014,0.0,0.0,0.0,0.0,0.0,0.00088452414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016959334
STAT5A,0.001506749,0.0010313268,0.0,0.0,0.0018576541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021560178
IL7R,0.0028673017,0.0,0.0,0.0,0.0,0.016688377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03935434
JUNB,0.0,0.0,0.0,0.0,0.025595292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02356363
SLPI,0.00035747024,0.00022209962,0.0,0.00060093275,0.0007233129,0.0,0.0,0.0,0.00074718293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006254298
CDKN1C,0.0,0.0,0.0,0.0,0.0,0.0015769822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008593239,0.0,0.0,0.0,0.0,0.0,0.0,0.0008729071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002145942
CAMK4,0.0,0.0,0.0,0.006337119,0.0,0.0,0.0,0.004016247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010071216
LGALS3,0.0,0.0,0.0,0.030633835,0.0,0.07054529,0.0,0.07044026,0.083318315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08677326
