,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.0033414394,0.0042780694,0.0,0.0,0.004541108,0.0055656834,0.0,0.0,0.0,0.0,0.0,0.0,0.0040726853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005517969
IRF1,0.0072886655,0.005653124,0.00961964,0.0054560727,0.011465365,0.0,0.0,0.005960265,0.00599833,0.007837451,0.013196831,0.0,0.01479426,0.0,0.0,0.0058018942,0.0,0.0,0.011670382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005412166
CCND1,0.0054106656,0.0037772604,0.0,0.0051907897,0.0046219183,0.0,0.003604296,0.0,0.0037770092,0.0,0.0,0.0,0.0,0.004264591,0.0,0.0,0.0,0.0,0.0,0.0,0.0044501964,0.0,0.0,0.0,0.0044806916,0.0048877196,0.0,0.0,0.0,0.0,0.0035732326
PRF1,0.03033724,0.0068838065,0.036079414,0.0,0.031120451,0.0,0.0,0.0,0.0061324546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013044284
IFNG,0.0040885853,0.0055915187,0.004895407,0.0035075436,0.0037527713,0.0065630684,0.0,0.004121917,0.0051942253,0.004095404,0.004751409,0.0,0.0058643175,0.0,0.0,0.0050736596,0.005290163,0.0,0.007163613,0.0,0.0,0.004888792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411709
KRAS,0.0,0.0,0.0,0.0,0.0,0.011181626,0.0,0.0,0.0,0.0,0.009183228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009638571
FOS,0.0052082483,0.0,0.0,0.0,0.0056569884,0.0072487392,0.0023426614,0.0,0.005652504,0.0,0.0043229708,0.0,0.0,0.005622233,0.0040351194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004708511
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008287916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009169653
IRF8,0.01456492,0.0,0.0,0.015939204,0.0,0.0,0.0,0.0,0.004041315,0.0027360525,0.0,0.0,0.0,0.0,0.0,0.0,0.01785855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006685934
IRF2,0.0,0.0,0.0,0.017105034,0.0,0.0,0.0,0.02073317,0.011208733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010704992
BCL2,0.0033039635,0.0050052246,0.0,0.003975524,0.0065286276,0.004960661,0.0,0.0,0.0,0.004568733,0.0,0.0,0.0,0.0063977917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062403977,0.0,0.0,0.0,0.0042716255
IFNB1,0.0,0.0,0.0,0.0035404528,0.0,0.0,0.0,0.0028081487,0.0041199285,0.006953411,0.0,0.0,0.005013581,0.0,0.0,0.0064326334,0.00486668,0.0,0.0033226,0.0035083434,0.005068895,0.006219161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047926717
CCL4,0.0,0.0,0.0,0.06692605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17687118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05675666
SOCS3,0.0049008536,0.0059270547,0.011161026,0.0,0.011606453,0.009423052,0.0,0.0,0.009548622,0.0,0.009809126,0.00657263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010114794
CD40,0.0,0.0,0.0,0.021554278,0.0,0.0,0.0,0.0,0.013297091,0.0,0.017364714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014202479
TNF,0.0046683988,0.0,0.0055309017,0.0051078075,0.0041924305,0.0,0.0,0.008239887,0.0023108665,0.00852516,0.003202182,0.005109184,0.004876871,0.0,0.0,0.004146639,0.005438508,0.0,0.0,0.0,0.0060986113,0.0,0.0,0.0033078725,0.0,0.0,0.0,0.0,0.0,0.0,0.0040764175
IL18,0.005855152,0.0,0.0,0.0070428946,0.0,0.0,0.0,0.0,0.0,0.006302064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054589957
OSM,0.0038228089,0.004898699,0.0,0.0,0.0041431147,0.0,0.0,0.0,0.0046431255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029570286
HSPA4,0.0,0.0,0.0,0.004490064,0.0037321518,0.0,0.0,0.0,0.006078249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049780216
APEX1,0.0,0.0,0.0,0.0,0.02111799,0.0,0.0,0.0,0.0,0.0,0.0,0.007617136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014837425
HSP90AB1,0.0,0.0,0.0,0.0,0.013661707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020098107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008209744
IL1B,0.0,0.0,0.0,0.006508351,0.005113054,0.0,0.0,0.006325225,0.0027584827,0.0031818692,0.0,0.0,0.004809791,0.0,0.0,0.0,0.0077229002,0.0,0.0,0.0,0.0067043277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027869735
BLK,0.0,0.0,0.0,0.0,0.0,0.005488244,0.0,0.0,0.0,0.0,0.0,0.002887149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005913922
