,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.054811746,0.057501763,0.0,0.0,0.05330519,0.05464662,0.0,0.0,0.0,0.0,0.0,0.0,0.056537308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054400392
IRF1,0.056387275,0.05967185,0.056585692,0.05672576,0.055688977,0.0,0.0,0.056612372,0.056972694,0.058288146,0.054599114,0.0,0.058354568,0.0,0.0,0.056506805,0.0,0.0,0.060123302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05720396
CCND1,0.05421853,0.05789551,0.0,0.05543121,0.05419659,0.0,0.057693582,0.0,0.054992177,0.0,0.0,0.0,0.0,0.055896014,0.0,0.0,0.0,0.0,0.0,0.0,0.054549694,0.0,0.0,0.0,0.057161223,0.056607436,0.0,0.0,0.0,0.0,0.05597065
PRF1,0.055571973,0.058876745,0.05635155,0.0,0.055157267,0.0,0.0,0.0,0.054926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05551976
IFNG,0.055268206,0.05795727,0.055649173,0.057010043,0.055617303,0.056195635,0.0,0.05632466,0.055997174,0.057333343,0.05443458,0.0,0.05754552,0.0,0.0,0.056192406,0.05674203,0.0,0.060116787,0.0,0.0,0.056245428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05671966
KRAS,0.0,0.0,0.0,0.0,0.0,0.054875046,0.0,0.0,0.0,0.0,0.05273499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055022668
FOS,0.054785006,0.0,0.0,0.0,0.05380418,0.055255197,0.05736332,0.0,0.05503034,0.0,0.05340094,0.0,0.0,0.056307383,0.05863724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05539651
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054871917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054300882
IRF8,0.055568464,0.0,0.0,0.056257673,0.0,0.0,0.0,0.0,0.055482347,0.056593567,0.0,0.0,0.0,0.0,0.0,0.0,0.05555867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055994917
IRF2,0.0,0.0,0.0,0.055820562,0.0,0.0,0.0,0.055582475,0.055331312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056087147
