,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
IL2,0.00019190524,0.00011191069,0.0,0.0,0.00047606684,0.00034323157,0.0,0.0,0.0,0.0,0.0,0.0,0.00033220928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022860347
IRF1,0.0057389494,0.0029076745,0.005334254,0.0014965029,0.002319237,0.0,0.0,0.0026755403,0.0023457867,0.003680264,0.003500974,0.0,0.010204214,0.0,0.0,0.0014223839,0.0,0.0,0.011906695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021765782
CCND1,0.00027682222,0.00029148435,0.0,0.00044661053,0.00037425247,0.0,0.0012178388,0.0,0.00025615632,0.0,0.0,0.0,0.0,0.0008554756,0.0,0.0,0.0,0.0,0.0,0.0,0.0005933714,0.0,0.0,0.0,0.0007263062,0.0011147838,0.0,0.0,0.0,0.0,0.0009149323
PRF1,0.02195887,0.043821067,0.042767674,0.0,0.008912621,0.0,0.0,0.0,0.0049714586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123120295
IFNG,0.0009263162,0.0027670248,0.0022415395,0.00066125474,0.001338137,0.0015053333,0.0,0.0013676708,0.0008821718,0.0009814834,0.0013505565,0.0,0.0009096438,0.0,0.0,0.0013395429,0.0013958904,0.0,0.0014946861,0.0,0.0,0.0018301968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001298801
KRAS,0.0,0.0,0.0,0.0,0.0,0.0009393132,0.0,0.0,0.0,0.0,0.003470781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058166822
FOS,0.0012450485,0.0,0.0,0.0,0.0018144884,0.0019896866,0.0014372347,0.0,0.00087290205,0.0,0.0020029773,0.0,0.0,0.0011775432,0.00244989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023467585
SMC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027041924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004564169
IRF8,0.009181208,0.0,0.0,0.0027755124,0.0,0.0,0.0,0.0,0.0038632655,0.0019152332,0.0,0.0,0.0,0.0,0.0,0.0,0.005982654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002732185
IRF2,0.0,0.0,0.0,0.002381707,0.0,0.0,0.0,0.008123935,0.0031433848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010780636
